instance_id,solver_name,n_backdoor_leaves,backdoor_depth,whole_runtime,whole_decisions,whole_propagations,whole_restarts,whole_conflicts,leaves_runtime,leaves_decisions,leaves_propagations,leaves_restarts,leaves_conflicts,tautology_check_runtime
99,minisat22,547,12,2.080872181999439,30043,39398,22,4172,0.0002593630015326198,0,5819,547,633,0.0030291750008473173
99,glucose41,547,12,5.747028940999371,62811,90931,28,11299,0.0002903679996961728,0,5819,547,633,0.004306443001041771
99,cadical153,547,12,4.49798781500067,69688,121971,68,17010,0.00015787300071679056,0,5843,0,631,0.004547939000985934
99,lingeling,547,12,41.95067900899994,169499,252325,1,24627,0.00380903500081331,5044,5098,0,547,0.008803033000731375
100,minisat22,545,12,1.438059127998713,30619,41214,24,4618,0.0011861759994644672,0,5706,545,618,0.0026241260002279887
100,glucose41,545,12,5.651244078999298,64333,100904,20,13427,0.00125384400053008,0,5706,545,618,0.004842989999815472
100,cadical153,545,12,10.537215855998511,85044,252138,30,21143,0.002007649000006495,0,5749,0,619,0.005877068000700092
100,lingeling,545,12,37.55083151799954,142441,219325,1,22435,0.005893665000257897,4971,5054,0,537,0.00883704999978363
101,minisat22,546,13,1.7020627969995985,31250,40623,22,4356,0.0011233839995838935,0,5711,546,604,0.00296619499931694
101,glucose41,546,13,5.414739051000652,70295,106387,16,13702,0.0012264880006114254,0,5711,546,604,0.003863791998810484
101,cadical153,546,13,5.543327733999831,76813,136822,21,19331,0.0013358840005821548,0,5754,0,599,0.004699468998296652
101,lingeling,546,13,22.347011853000367,83382,124344,2,13670,0.0064855630007514264,4979,5029,0,528,0.007517630001530051
102,minisat22,544,11,0.6437298830005602,16797,22262,15,2526,0.0006714539995300584,0,5553,544,680,0.0018781890012178337
102,glucose41,544,11,2.4774649970004248,47077,79156,9,11254,0.0006960020000406075,0,5553,544,680,0.0031009930007712683
102,cadical153,544,11,3.303318318001402,53041,92657,47,12967,0.0005760019994340837,0,5618,0,679,0.0021790119990328094
102,lingeling,544,11,11.378485576000458,50169,75424,3,8893,0.002514342000722536,4683,4759,0,536,0.006024406000506133
103,minisat22,546,11,1.5978395829988585,27559,36353,21,3884,0.001892861999294837,0,5728,546,623,0.0027956510002695723
103,glucose41,546,11,4.004824245001146,51452,74364,20,9082,0.002023257000473677,0,5728,546,623,0.006917333001183579
103,cadical153,546,11,5.554467410000143,78633,138874,18,19277,0.003168518000165932,0,5735,0,621,0.003987072001109482
103,lingeling,546,11,32.95040020699889,138065,204275,1,20054,0.00821907200042915,4965,5026,0,540,0.009202265999192605
104,minisat22,545,11,1.8456809939998493,29182,39734,24,4590,0.0014587260011467151,0,5814,545,642,0.0028586890002770815
104,glucose41,545,11,4.628775911000048,54145,79847,19,10268,0.001612318999832496,0,5814,545,642,0.004096556000149576
104,cadical153,545,11,20.460202493000907,98290,300976,98,25253,0.00162233099945297,0,5859,0,641,0.003979103999881772
104,lingeling,545,11,40.00303494900072,162299,245833,1,24708,0.00558770700081368,4987,5049,0,536,0.008015568000701023
105,minisat22,546,12,1.7573840530003508,31274,42451,28,5029,0.0015151419993344462,0,5735,546,610,0.0029559600006905384
105,glucose41,546,12,5.946953298000153,64977,105290,13,14475,0.0016072070011432515,0,5735,546,610,0.0038969510005699703
105,cadical153,546,12,11.827013049000016,81637,252530,23,22024,0.0022535360003530513,0,5775,0,613,0.005843214999913471
105,lingeling,546,12,26.04632551299983,99767,147708,2,15747,0.005828397999721346,4973,5032,0,529,0.012120903998948052
106,minisat22,546,12,1.8516316679997544,28653,37827,22,4147,0.0015606489996571327,0,5696,546,610,0.0027155930001754314
106,glucose41,546,12,4.926825790000294,56294,82891,23,10575,0.001642192999497638,0,5696,546,610,0.005049317000157316
106,cadical153,546,12,4.1707206910014065,50200,81918,44,10852,0.0015170959995884914,0,5743,0,614,0.00412742799926491
106,lingeling,546,12,20.541824554000414,78879,118188,3,13365,0.00821899999937159,4991,5060,0,544,0.008262175999334431
107,minisat22,543,12,1.9191720920007356,32985,44316,27,4982,0.002164744000765495,0,5693,543,603,0.0029973079999763286
107,glucose41,543,12,5.536275068998293,61808,95039,21,13056,0.0024352780001208885,0,5693,543,603,0.006126759000835591
107,cadical153,543,12,4.383595625000453,67366,119292,24,16826,0.0028517460013972595,0,5708,0,600,0.004663160001655342
107,lingeling,543,12,20.8440859479997,80434,119645,2,13476,0.011417007999625639,4984,5026,0,536,0.009614010999939637
108,minisat22,547,12,1.8595608380001067,29746,39599,22,4340,0.001235747000464471,0,5753,547,591,0.002762472999165766
108,glucose41,547,12,5.468120851001004,60584,87950,23,10479,0.001359464999040938,0,5753,547,591,0.00467623700023978
108,cadical153,547,12,4.473976979999861,54140,86679,58,11044,0.001142426999649615,0,5776,0,594,0.003517971999826841
108,lingeling,547,12,38.59759352299989,149853,227385,1,23216,0.005467126999064931,5047,5086,0,537,0.007961911000165856
109,minisat22,548,12,0.8848559899997781,24088,31998,18,3510,0.0014783960014028708,0,5442,548,574,0.0021170060008444125
109,glucose41,548,12,2.504022229999464,47035,74245,14,10053,0.0016171770002983976,0,5442,548,574,0.003239536001274246
109,cadical153,548,12,3.0041943209998863,51705,85509,31,11252,0.0010285200005455408,0,5488,0,576,0.0027461459994810866
109,lingeling,548,12,10.62585854200006,55634,83174,2,9297,0.005124022000018158,4760,4794,0,522,0.0058893620007438585
110,minisat22,547,11,1.6450957510005537,30677,41680,25,4713,0.0017465630007791333,0,5711,547,610,0.0027875549985765247
110,glucose41,547,11,3.7590824680009973,43981,63680,18,8076,0.0018249460008519236,0,5711,547,610,0.003881403999912436
110,cadical153,547,11,4.946138162000352,74392,131358,41,18328,0.001583928000400192,0,5707,0,610,0.003481834999547573
110,lingeling,547,11,35.48540369700095,134919,207483,1,22088,0.005726064000555198,4973,5025,0,539,0.007918205999885686
111,minisat22,546,12,1.5497712470005354,27934,37203,22,4238,0.0011058660002163379,0,5693,546,633,0.002748267999777454
111,glucose41,546,12,5.231263202000264,57742,88696,22,11726,0.0011936659993807552,0,5693,546,633,0.0032665380003891187
111,cadical153,546,12,5.499766060998809,76333,134302,25,18783,0.0006963970008655451,0,5729,0,637,0.0039589829993929015
111,lingeling,546,12,33.426502147000065,137689,202918,1,19847,0.0017348229994240683,4965,5016,0,544,0.008121148999634897
112,minisat22,543,12,1.9681356889996096,31408,41931,23,4472,0.0009484219990554266,0,5826,543,647,0.0028086579986847937
112,glucose41,543,12,4.796998798999994,57164,87021,23,11131,0.001041077999616391,0,5826,543,647,0.003970742000092287
112,cadical153,543,12,5.715826048000963,74129,126718,28,17210,0.0011779920005210442,0,5883,0,653,0.004182938000667491
112,lingeling,543,12,84.1434629330015,360329,512500,0,39740,0.0032606599997961894,4958,5020,0,539,0.007860129999244236
113,minisat22,543,11,1.9824176820002322,29933,39801,22,4301,0.003101935999438865,0,5743,543,600,0.0027351879998605
113,glucose41,543,11,5.398688256000241,74512,122971,10,17567,0.003205950000847224,0,5743,543,600,0.004668153000238817
113,cadical153,543,11,5.215541176999977,74488,128107,47,17506,0.00160347500059288,0,5733,0,598,0.005604337999102427
